tile,is_tumor,wagner_attn,vl_msi_minus_mss,vl_quality
359,False,6.5220665e-05,0.004655077,0.011184598
360,False,6.790303e-05,-0.00028132834,0.0014741626
361,False,6.854208e-05,-0.018332195,-0.0018967688
362,False,6.905653e-05,-0.008017843,0.010477569
363,False,6.881569e-05,0.0016614385,0.0057156445
364,False,7.159869e-05,-0.0032049194,3.4375116e-06
365,False,7.027296e-05,0.013431085,0.010062825
366,True,6.2512416e-05,0.018961329,0.013885912
367,True,6.2665924e-05,0.017187536,0.009537434
368,True,6.0067196e-05,0.008450887,0.014524622
369,True,6.302013e-05,0.039889272,-0.011920162
370,True,6.257874e-05,0.017377106,0.023584228
371,True,6.223114e-05,0.022406213,0.021672733
372,True,6.33671e-05,0.002010665,0.012497769
373,True,6.715346e-05,0.0010543838,-0.010205309
374,True,6.300006e-05,0.025719061,0.0025655162
375,True,6.505758e-05,-0.011889615,7.2307885e-05
376,True,6.384393e-05,0.00959906,-0.011584283
377,False,6.4519605e-05,0.022607151,0.0069278926
378,False,6.690658e-05,-0.008903401,0.0142710265
379,True,6.622308e-05,0.019793153,0.015497439
380,True,6.324263e-05,0.014218321,-0.005557157
381,True,6.150866e-05,0.025876239,-0.005489166
382,True,6.1669496e-05,0.0067981263,0.0095309
383,True,6.24519e-05,-0.020028666,-0.0036757514
384,True,5.7766556e-05,0.02374803,0.012711171
385,True,5.9641843e-05,0.008081116,0.018007815
386,True,5.9317263e-05,0.037648868,0.0024169236
387,True,5.813833e-05,0.006236503,-0.00024527404
388,True,6.070566e-05,0.017865282,0.0032411553
389,True,6.209618e-05,0.009172907,0.0025185947
390,False,6.583303e-05,-0.014970899,0.00796766
391,False,6.571143e-05,-0.021442477,0.008431081
392,False,6.42646e-05,-0.009128262,0.02434893
393,False,6.0256876e-05,-0.0053796675,0.012301117
394,False,6.357508e-05,0.009192359,0.022624837
395,False,6.548462e-05,-0.0032460392,-0.001537039
396,False,6.207327e-05,0.025812823,0.019198753
397,False,6.4352025e-05,-0.011059245,-0.0093742255
398,False,6.443113e-05,-0.026902836,-0.003446782
399,False,6.391927e-05,-0.0045698322,-0.0020134524
400,True,5.8534995e-05,-0.017872768,-0.002293067
401,False,6.0057017e-05,-0.005369587,-0.024154596
402,False,6.1584265e-05,-0.008849999,0.008134335
403,False,6.3331456e-05,-0.0059449673,0.030323215
404,False,7.184244e-05,-0.014457868,0.003632668
405,False,7.093001e-05,-0.003500985,0.012196694
406,False,6.916104e-05,-0.010047985,0.015047317
407,False,6.957897e-05,-0.014420044,-0.0066936603
408,False,6.957905e-05,-0.0048816465,0.0033995248
409,False,6.9315385e-05,0.0010224674,-0.00064723287
410,False,6.824603e-05,0.008417454,0.0045373198
411,False,7.263921e-05,-0.0017144568,-0.0017698538
412,True,6.293183e-05,0.03104589,0.004987832
413,True,6.377722e-05,0.026287789,0.01864052
414,True,6.22963e-05,0.011373564,0.006485693
415,True,6.245409e-05,0.029626887,-0.0032644533
416,False,6.680489e-05,0.008808767,0.010968471
417,True,6.424165e-05,0.014340066,-0.0065207444
418,True,6.0805403e-05,0.01717174,-0.017052464
419,False,6.379e-05,0.024973126,0.0050293207
420,False,6.867768e-05,-0.0043586716,0.0026104213
421,True,6.5601664e-05,0.009652267,0.006879417
422,False,6.408932e-05,-0.0033905553,-0.0015918128
423,True,6.6921355e-05,0.0051612984,0.00081324205
424,True,6.509682e-05,0.020125818,-0.013379033
425,True,6.3155116e-05,0.013561044,0.002589183
426,True,6.516493e-05,0.024789445,-0.0033968799
427,True,6.805138e-05,0.0038678506,-0.0063479748
428,True,6.6033994e-05,0.004771922,-0.024741951
429,False,6.4919775e-05,0.008299189,-0.0045185518
430,False,5.8786507e-05,-0.0077195643,0.016218549
431,True,5.8681348e-05,0.029247243,0.013583312
432,False,6.3032254e-05,-0.020099796,0.016145598
433,False,5.886234e-05,-0.028407857,-0.010101323
434,False,6.126189e-05,-0.012397416,-0.0029379502
435,True,5.7347268e-05,0.0021079555,0.010444982
436,False,5.8651538e-05,-0.011990183,-0.02543101
437,False,6.387382e-05,0.0017544944,0.007997932
438,False,6.0852395e-05,0.0043309955,0.012327673
439,False,6.103817e-05,-0.013786519,0.0066466928
440,False,6.436684e-05,0.0039741956,0.025985772
441,False,6.29267e-05,0.010268867,0.00024471432
442,False,6.4431966e-05,0.0013270145,-0.0028479341
443,False,6.778303e-05,0.0017983802,0.022836028
444,False,6.258766e-05,-0.0042980984,0.014996502
445,False,6.391941e-05,-0.024446277,-0.005162441
446,False,6.5335335e-05,-0.02500502,-0.0015006345
447,True,6.026305e-05,-0.018033408,0.0014311755
448,True,6.425194e-05,-0.0135229565,0.0017597708
449,False,6.7231e-05,-0.014254545,-0.008016954
450,False,6.508113e-05,-0.017798103,0.0111591965
451,False,6.4799504e-05,-0.012530042,0.009787509
452,False,6.5825174e-05,-0.018111795,0.0072543267
453,False,6.747191e-05,0.0003426969,0.008195091
454,False,6.776997e-05,-0.014208384,-0.0056748046
455,False,7.092057e-05,-0.011047583,0.01102031
456,False,6.883935e-05,-0.017004464,0.004685344
457,False,6.8837e-05,-0.011126693,9.712204e-05
458,False,6.7941146e-05,0.011059841,0.018746952
459,False,6.9073314e-05,0.009607442,0.018065274
460,False,7.0004295e-05,0.013886057,0.016864363
461,True,6.244684e-05,0.021354582,-0.013080979
462,True,6.0592614e-05,0.029400013,0.015877146
463,False,6.1992716e-05,0.0241132,0.011856522
464,True,5.8988844e-05,0.016819648,0.008187212
465,True,6.167191e-05,0.017036948,-0.008751187
466,True,6.255817e-05,0.023115639,0.0010264032
467,True,6.1242186e-05,0.018610004,0.015968818
468,True,6.716406e-05,0.010667672,0.027199555
469,True,6.476638e-05,-0.008347161,-0.010995085
470,False,6.546352e-05,-0.0013735043,-0.0024082328
471,True,6.3922394e-05,0.028993031,0.003669628
472,False,6.376215e-05,0.025994424,0.0029676706
473,True,6.630545e-05,-0.0011957879,-0.009564256
474,False,6.4040214e-05,-0.0067441138,0.003075147
475,True,6.408151e-05,-0.013679545,-0.008387391
476,True,6.32663e-05,0.009020301,0.0010335203
477,True,6.510736e-05,-0.006632101,-0.004706243
478,False,6.662625e-05,-0.00012048613,0.0031388812
479,False,6.36617e-05,0.0046672537,0.0072765565
480,False,6.1664745e-05,-0.022129986,0.0006272865
481,False,6.3872285e-05,-0.021469895,0.031604834
482,False,6.364484e-05,-0.008701994,-0.01342351
483,True,5.7976016e-05,0.0052642096,0.008206484
484,False,5.927809e-05,-0.027755324,-0.008340909
485,False,6.237064e-05,-0.0048986897,-0.012389626
486,False,6.819972e-05,0.012159274,0.013721863
487,False,6.344081e-05,-0.010867772,0.0052501373
488,False,6.402408e-05,-0.025901014,-0.0015329868
489,False,6.589716e-05,-0.020209938,-0.0037372531
490,False,6.347019e-05,-0.022595378,0.013432527
491,False,6.2572486e-05,-0.008199904,-0.0035929345
492,False,6.106423e-05,-0.009352233,0.0066864137
493,False,6.611379e-05,0.007882934,0.013954509
494,True,6.475375e-05,-0.013310298,-0.0051551675
